id,department_id,organization_id,name,role,phone,email,active
Organization-001-Dept-01-Part-01,Organization-001-Dept-01,Organization-001,Thomas Vazquez,Nurse,195-294-2286,barnettdiana@anderson.com,True
Organization-001-Dept-01-Part-02,Organization-001-Dept-01,Organization-001,Matthew Holt,Nurse,478.966.9530x706,batestyler@hotmail.com,False
Organization-001-Dept-01-Part-03,Organization-001-Dept-01,Organization-001,Christine Douglas,Nurse,770-448-6417x60756,wmartinez@curry-mcgee.biz,True
Organization-001-Dept-01-Part-04,Organization-001-Dept-01,Organization-001,Kristina Burns,Doctor,1364152895,kelly55@anderson.net,True
Organization-001-Dept-01-Part-05,Organization-001-Dept-01,Organization-001,Nathan Brown,Doctor,+1-523-069-3297x28620,travis72@jackson.com,True
Organization-001-Dept-01-Part-06,Organization-001-Dept-01,Organization-001,Eric Lamb,Nurse,001-533-705-1306x941,mcdowellsusan@alexander.com,True
Organization-001-Dept-01-Part-07,Organization-001-Dept-01,Organization-001,Hannah Mills,Doctor,798.094.9158,baxterdennis@thompson.com,True
Organization-001-Dept-01-Part-08,Organization-001-Dept-01,Organization-001,Herbert Myers,Doctor,001-490-282-8776x6877,matthew43@gmail.com,True
Organization-001-Dept-01-Part-09,Organization-001-Dept-01,Organization-001,Kara Carter,Doctor,(833)816-8130x016,ashleyrodriguez@vega.com,True
Organization-001-Dept-01-Part-10,Organization-001-Dept-01,Organization-001,Jessica Miller,Nurse,210.758.1232x57518,kaylafrancis@garza.net,True
Organization-001-Dept-02-Part-01,Organization-001-Dept-02,Organization-001,Brian Jones,Doctor,001-767-617-9660,david70@hotmail.com,True
Organization-001-Dept-02-Part-02,Organization-001-Dept-02,Organization-001,Mark Flynn,Nurse,(039)774-4449x778,joe61@nguyen-hunt.org,True
Organization-001-Dept-02-Part-03,Organization-001-Dept-02,Organization-001,Sherry Carpenter,Doctor,110-657-6133,jason97@gmail.com,True
Organization-001-Dept-02-Part-04,Organization-001-Dept-02,Organization-001,Jorge Wilkinson,Nurse,001-326-807-8893x883,robbinsrhonda@yahoo.com,True
Organization-001-Dept-02-Part-05,Organization-001-Dept-02,Organization-001,Debra Clark,Doctor,(017)867-7367x016,jonesthomas@white.info,True
Organization-001-Dept-02-Part-06,Organization-001-Dept-02,Organization-001,Dr. Christina Robertson,Nurse,001-491-634-6851,elliottmargaret@yahoo.com,True
Organization-001-Dept-02-Part-07,Organization-001-Dept-02,Organization-001,Sheena Cowan,Doctor,(307)628-8974x4624,briannabates@williams-cole.com,True
Organization-001-Dept-02-Part-08,Organization-001-Dept-02,Organization-001,Louis Smith,Doctor,001-745-740-5271x6076,chelseycole@miller.com,True
Organization-001-Dept-02-Part-09,Organization-001-Dept-02,Organization-001,Rebecca Washington,Nurse,989-952-2129,chanmichelle@hotmail.com,True
Organization-001-Dept-02-Part-10,Organization-001-Dept-02,Organization-001,Alexis Blackburn,Doctor,041.889.8087,michaelgonzalez@gmail.com,True
Organization-001-Dept-03-Part-01,Organization-001-Dept-03,Organization-001,Theresa Moore,Doctor,001.994.6145x96718,bowersjoe@walker-jackson.com,True
Organization-001-Dept-03-Part-02,Organization-001-Dept-03,Organization-001,Kyle White,Nurse,698-367-6149x494,jacobrodriguez@hotmail.com,True
Organization-001-Dept-03-Part-03,Organization-001-Dept-03,Organization-001,Shari Tapia,Nurse,(328)197-8239,justin40@maxwell-wang.net,True
Organization-001-Dept-03-Part-04,Organization-001-Dept-03,Organization-001,Anna Richards,Nurse,096-643-8247,donaldbeck@hotmail.com,True
Organization-001-Dept-03-Part-05,Organization-001-Dept-03,Organization-001,David Montoya,Doctor,(074)582-7614,waterschristina@gmail.com,True
Organization-001-Dept-03-Part-06,Organization-001-Dept-03,Organization-001,Brandon Craig,Doctor,570-612-2142x78469,andrea56@oconnell-manning.com,True
Organization-001-Dept-03-Part-07,Organization-001-Dept-03,Organization-001,Jeremy Anderson,Nurse,001-425-095-3846x6108,seanhernandez@hughes.com,False
Organization-001-Dept-03-Part-08,Organization-001-Dept-03,Organization-001,Cynthia Clark,Nurse,187-717-6451x1284,robertjohnson@taylor.com,True
Organization-001-Dept-03-Part-09,Organization-001-Dept-03,Organization-001,Craig Huff,Nurse,001-687-306-6710x06673,reginamarquez@gmail.com,True
Organization-001-Dept-03-Part-10,Organization-001-Dept-03,Organization-001,Jessica Rodriguez,Nurse,001-368-074-6626x61393,amy92@cooley.biz,True
Organization-001-Dept-04-Part-01,Organization-001-Dept-04,Organization-001,Christina Lee,Doctor,740.257.3888,rebeccaturner@hotmail.com,True
Organization-001-Dept-04-Part-02,Organization-001-Dept-04,Organization-001,Daniel Mullen,Nurse,460-692-0839x237,smithscott@yahoo.com,False
Organization-001-Dept-04-Part-03,Organization-001-Dept-04,Organization-001,Dillon Clark,Doctor,(023)970-4487x4500,eric52@woodard.biz,True
Organization-001-Dept-04-Part-04,Organization-001-Dept-04,Organization-001,Sara Marquez,Doctor,896.492.4216x9928,cmata@king.com,True
Organization-001-Dept-04-Part-05,Organization-001-Dept-04,Organization-001,Rick Johnson,Nurse,571-931-0791x569,kimberly79@gmail.com,True
Organization-001-Dept-04-Part-06,Organization-001-Dept-04,Organization-001,Jessica Rodriguez,Doctor,155-549-1996,nicholas73@gmail.com,True
Organization-001-Dept-04-Part-07,Organization-001-Dept-04,Organization-001,Stephanie Obrien,Nurse,6919929032,sabrina96@sharp.biz,True
Organization-001-Dept-04-Part-08,Organization-001-Dept-04,Organization-001,Audrey Stein,Doctor,001-851-753-7463x99797,wshah@yahoo.com,True
Organization-001-Dept-04-Part-09,Organization-001-Dept-04,Organization-001,Jason Ferguson,Nurse,+1-511-080-5611,brandi38@moore.com,True
Organization-001-Dept-04-Part-10,Organization-001-Dept-04,Organization-001,Stephanie Sandoval,Doctor,001-257-575-8033x5124,randycarroll@gmail.com,True
Organization-001-Dept-05-Part-01,Organization-001-Dept-05,Organization-001,Teresa Smith,Nurse,+1-163-704-2495,andrea84@gamble-watson.com,True
Organization-001-Dept-05-Part-02,Organization-001-Dept-05,Organization-001,Marissa Wilson,Nurse,+1-810-797-6348x938,bsmith@bennett.com,True
Organization-001-Dept-05-Part-03,Organization-001-Dept-05,Organization-001,Katie Davis,Doctor,001-937-451-2874x6363,sarahdonaldson@gmail.com,True
Organization-001-Dept-05-Part-04,Organization-001-Dept-05,Organization-001,Connie Perez,Nurse,604.559.1975x45608,dickersondebra@bailey.info,True
Organization-001-Dept-05-Part-05,Organization-001-Dept-05,Organization-001,Heather Lam,Nurse,+1-046-628-2291,smithchristopher@dunn-chapman.net,True
Organization-001-Dept-05-Part-06,Organization-001-Dept-05,Organization-001,David Cox,Nurse,954-950-1542x3103,hollandjustin@hotmail.com,True
Organization-001-Dept-05-Part-07,Organization-001-Dept-05,Organization-001,William Owens,Doctor,001-930-146-1206,joshuaberger@velasquez.info,True
Organization-001-Dept-05-Part-08,Organization-001-Dept-05,Organization-001,Elizabeth Adams,Doctor,001-700-682-2376,duncanjames@thomas.com,True
Organization-001-Dept-05-Part-09,Organization-001-Dept-05,Organization-001,Caleb Johnson,Doctor,011-988-8227x568,kimvasquez@shea.org,True
Organization-001-Dept-05-Part-10,Organization-001-Dept-05,Organization-001,Beth Rodriguez,Nurse,557-824-8492x3357,kevincross@boyd.com,True
Organization-001-Dept-06-Part-01,Organization-001-Dept-06,Organization-001,Ricky Moran,Doctor,154-637-8035x1199,chadcruz@yahoo.com,True
Organization-001-Dept-06-Part-02,Organization-001-Dept-06,Organization-001,Mary Colon,Doctor,414-835-2863x6395,bushrachel@hotmail.com,True
Organization-001-Dept-06-Part-03,Organization-001-Dept-06,Organization-001,Catherine Johnson,Doctor,(201)362-1949x048,olivia78@yahoo.com,True
Organization-001-Dept-06-Part-04,Organization-001-Dept-06,Organization-001,Christopher Oliver,Nurse,+1-213-061-0433,christy70@bray.com,True
Organization-001-Dept-06-Part-05,Organization-001-Dept-06,Organization-001,Ethan Singleton,Nurse,190.477.6905x721,austinzimmerman@gonzalez-wells.com,False
Organization-001-Dept-06-Part-06,Organization-001-Dept-06,Organization-001,Amanda Gregory,Doctor,7847080997,kylereyes@hotmail.com,True
Organization-001-Dept-06-Part-07,Organization-001-Dept-06,Organization-001,Christine Weiss,Doctor,+1-463-619-7341x175,timstevenson@hotmail.com,True
Organization-001-Dept-06-Part-08,Organization-001-Dept-06,Organization-001,Carmen Garcia,Doctor,777.019.9079,christinelucas@martinez-sutton.net,True
Organization-001-Dept-06-Part-09,Organization-001-Dept-06,Organization-001,Jeremy Erickson MD,Doctor,001-459-279-8901,thompsonwayne@palmer-moore.com,True
Organization-001-Dept-06-Part-10,Organization-001-Dept-06,Organization-001,Hannah Scott,Nurse,131-720-8297x446,fpitts@ray.com,True
Organization-001-Dept-07-Part-01,Organization-001-Dept-07,Organization-001,Susan Payne,Nurse,(679)316-7827,xweber@hotmail.com,True
Organization-001-Dept-07-Part-02,Organization-001-Dept-07,Organization-001,Nicole Thomas,Doctor,(559)366-9073x8961,josephramos@randall.com,True
Organization-001-Dept-07-Part-03,Organization-001-Dept-07,Organization-001,Thomas Cardenas,Doctor,780.644.3633,jonathanmay@goodwin.org,True
Organization-001-Dept-07-Part-04,Organization-001-Dept-07,Organization-001,Lauren Blake,Nurse,301-990-0703x55119,craigfuller@hotmail.com,True
Organization-001-Dept-07-Part-05,Organization-001-Dept-07,Organization-001,Steven Davis,Doctor,077-699-3689,svelasquez@gmail.com,True
Organization-001-Dept-07-Part-06,Organization-001-Dept-07,Organization-001,Aaron Navarro,Doctor,001-927-853-3653,wanda80@gmail.com,True
Organization-001-Dept-07-Part-07,Organization-001-Dept-07,Organization-001,Alicia Walker,Doctor,001-784-557-3897,jamesfox@gmail.com,True
Organization-001-Dept-07-Part-08,Organization-001-Dept-07,Organization-001,Victoria Collins,Nurse,1427588078,brian35@benton-simpson.info,True
Organization-001-Dept-07-Part-09,Organization-001-Dept-07,Organization-001,Alex Cummings,Doctor,246.983.4894x03884,jessica42@barrett.org,True
Organization-001-Dept-07-Part-10,Organization-001-Dept-07,Organization-001,Bonnie Buck,Nurse,0394348507,christian49@carpenter.com,True
Organization-002-Dept-01-Part-01,Organization-002-Dept-01,Organization-002,Mike Sawyer,Nurse,929.392.7909x60544,tylerkim@hunt.org,True
Organization-002-Dept-01-Part-02,Organization-002-Dept-01,Organization-002,Joseph Gardner Jr.,Nurse,657-118-2538x4994,fsimmons@dennis-moreno.com,True
Organization-002-Dept-01-Part-03,Organization-002-Dept-01,Organization-002,Chelsea Medina,Doctor,+1-729-425-5978x3886,grantashley@yahoo.com,True
Organization-002-Dept-01-Part-04,Organization-002-Dept-01,Organization-002,Jesse Wolfe,Nurse,739-948-1047,suzanne26@butler.com,True
Organization-002-Dept-01-Part-05,Organization-002-Dept-01,Organization-002,Diane Newman,Nurse,9971505540,kellyhughes@yahoo.com,True
Organization-002-Dept-01-Part-06,Organization-002-Dept-01,Organization-002,Kevin Jones,Nurse,840-229-2378x52913,qpearson@yahoo.com,True
Organization-002-Dept-01-Part-07,Organization-002-Dept-01,Organization-002,George Howard,Doctor,+1-086-568-2290x40442,pmcdowell@mccormick.com,True
Organization-002-Dept-01-Part-08,Organization-002-Dept-01,Organization-002,Lorraine Davis,Doctor,+1-051-586-5666x17877,mcgrathtina@carr-banks.com,True
Organization-002-Dept-01-Part-09,Organization-002-Dept-01,Organization-002,Robert Owens,Doctor,+1-093-425-7186x024,robert02@santiago.com,True
Organization-002-Dept-01-Part-10,Organization-002-Dept-01,Organization-002,Kelly Hines,Nurse,(601)869-4368,salinasmiguel@hotmail.com,True
Organization-002-Dept-02-Part-01,Organization-002-Dept-02,Organization-002,James Peterson,Doctor,688.916.3593x6830,xrose@owen.com,True
Organization-002-Dept-02-Part-02,Organization-002-Dept-02,Organization-002,Karen Lopez,Doctor,(115)541-7394x468,wilkinskelsey@yahoo.com,True
Organization-002-Dept-02-Part-03,Organization-002-Dept-02,Organization-002,Nicole Williams,Doctor,768-094-6646x466,gaineschristina@yahoo.com,True
Organization-002-Dept-02-Part-04,Organization-002-Dept-02,Organization-002,Charles Strong,Nurse,(586)803-8681x29456,sotorachel@reyes.org,True
Organization-002-Dept-02-Part-05,Organization-002-Dept-02,Organization-002,Brittany Tyler,Nurse,048.000.0830,maynarddavid@collins.com,True
Organization-002-Dept-02-Part-06,Organization-002-Dept-02,Organization-002,Maria Mays,Nurse,+1-780-405-2238x36333,thomasmyers@gmail.com,True
Organization-002-Dept-02-Part-07,Organization-002-Dept-02,Organization-002,Pam Edwards,Doctor,223-713-0999x45993,xsmith@simmons.org,True
Organization-002-Dept-02-Part-08,Organization-002-Dept-02,Organization-002,Joshua Navarro,Doctor,001-014-131-7000x45569,williamscory@villarreal.org,True
Organization-002-Dept-02-Part-09,Organization-002-Dept-02,Organization-002,Julie Palmer,Doctor,+1-865-983-3052x37704,qhall@yahoo.com,True
Organization-002-Dept-02-Part-10,Organization-002-Dept-02,Organization-002,Aaron Fields,Nurse,869-404-2708x3186,nowens@salazar-hatfield.info,True
Organization-003-Dept-01-Part-01,Organization-003-Dept-01,Organization-003,Leslie Webb,Doctor,(550)141-6391,bennettalan@hotmail.com,True
Organization-003-Dept-01-Part-02,Organization-003-Dept-01,Organization-003,Edward Rich,Doctor,001-728-308-7435x4726,bwoods@gmail.com,True
Organization-003-Dept-01-Part-03,Organization-003-Dept-01,Organization-003,Jose Quinn,Doctor,+1-937-108-6760x18641,victormitchell@hotmail.com,True
Organization-003-Dept-01-Part-04,Organization-003-Dept-01,Organization-003,Michael Carlson,Doctor,+1-796-395-7503x7764,ryanmoss@hotmail.com,True
Organization-003-Dept-01-Part-05,Organization-003-Dept-01,Organization-003,Ruben Vargas,Nurse,039-042-4987,christopher78@hotmail.com,True
Organization-003-Dept-01-Part-06,Organization-003-Dept-01,Organization-003,Edward Johns,Doctor,094-124-2403x01643,jwoods@yahoo.com,True
Organization-003-Dept-01-Part-07,Organization-003-Dept-01,Organization-003,Nicolas Garcia,Nurse,(064)841-0274x839,rosehunter@dunn.biz,True
Organization-003-Dept-01-Part-08,Organization-003-Dept-01,Organization-003,Aaron Alvarado,Doctor,(392)307-9067x3571,jill75@gonzalez.com,True
Organization-003-Dept-01-Part-09,Organization-003-Dept-01,Organization-003,Tiffany Hall,Doctor,404.417.3274x901,robert06@fisher.org,True
Organization-003-Dept-01-Part-10,Organization-003-Dept-01,Organization-003,Mr. Timothy Hester,Nurse,2741012505,bbarron@singleton.biz,True
Organization-004-Dept-01-Part-01,Organization-004-Dept-01,Organization-004,Adrian Walker,Doctor,(353)753-8846x985,leekenneth@malone.net,True
Organization-004-Dept-01-Part-02,Organization-004-Dept-01,Organization-004,Anthony Davidson,Nurse,798.945.9725x8904,usantos@smith-williams.com,True
Organization-004-Dept-01-Part-03,Organization-004-Dept-01,Organization-004,Ronald Tate,Doctor,+1-279-399-4619x17922,moraleskimberly@yahoo.com,True
Organization-004-Dept-01-Part-04,Organization-004-Dept-01,Organization-004,Angela Francis MD,Doctor,+1-618-050-4491x241,elizabeth64@hotmail.com,True
Organization-004-Dept-01-Part-05,Organization-004-Dept-01,Organization-004,Renee Martin,Nurse,(478)440-7767,curryhunter@hotmail.com,True
Organization-004-Dept-01-Part-06,Organization-004-Dept-01,Organization-004,Kristi Williams,Doctor,124-738-5329,maysjessica@payne-fletcher.info,True
Organization-004-Dept-01-Part-07,Organization-004-Dept-01,Organization-004,Katelyn Palmer,Doctor,675.939.0289x4857,knoxregina@tucker.com,True
Organization-004-Dept-01-Part-08,Organization-004-Dept-01,Organization-004,Erika Allen,Nurse,101-442-4347,gonzalespaul@gmail.com,True
Organization-004-Dept-01-Part-09,Organization-004-Dept-01,Organization-004,Stephanie Potts,Nurse,(372)991-7387,adamsashlee@lopez.com,True
Organization-004-Dept-01-Part-10,Organization-004-Dept-01,Organization-004,Patricia Gilbert,Nurse,694.350.0791,amyhubbard@yahoo.com,True
Organization-004-Dept-02-Part-01,Organization-004-Dept-02,Organization-004,Mary Higgins,Doctor,(423)127-3765x646,joseph41@gmail.com,True
Organization-004-Dept-02-Part-02,Organization-004-Dept-02,Organization-004,Amy Powers,Nurse,+1-472-891-7606x6771,zvaughan@jones.org,True
Organization-004-Dept-02-Part-03,Organization-004-Dept-02,Organization-004,Dana Baldwin,Nurse,(404)504-9349x55528,sotoemily@fernandez.biz,True
Organization-004-Dept-02-Part-04,Organization-004-Dept-02,Organization-004,Amy Garcia,Doctor,(230)701-4103x449,curtisjoseph@rhodes.com,True
Organization-004-Dept-02-Part-05,Organization-004-Dept-02,Organization-004,Jared Wolf,Doctor,001-784-184-9306x950,ann15@morales-underwood.com,True
Organization-004-Dept-02-Part-06,Organization-004-Dept-02,Organization-004,Sarah Davies,Doctor,(281)770-3838,davistony@yahoo.com,True
Organization-004-Dept-02-Part-07,Organization-004-Dept-02,Organization-004,Alexandria Ortega MD,Doctor,471.351.7384x68712,vincentwebb@cervantes.info,True
Organization-004-Dept-02-Part-08,Organization-004-Dept-02,Organization-004,Christina Melendez,Nurse,7382450905,justinjuarez@lawson-mann.com,True
Organization-004-Dept-02-Part-09,Organization-004-Dept-02,Organization-004,Justin Johnson,Nurse,208-070-2051x9668,smithjason@martin.org,True
Organization-004-Dept-02-Part-10,Organization-004-Dept-02,Organization-004,Samantha Franco,Nurse,(602)583-2460x87628,maysrodney@taylor-morton.com,True
Organization-005-Dept-01-Part-01,Organization-005-Dept-01,Organization-005,Heather Bray,Nurse,891.184.9881x117,youngjames@smith-davis.biz,True
Organization-005-Dept-01-Part-02,Organization-005-Dept-01,Organization-005,Robert Bennett,Nurse,407-196-7053x7384,davidoliver@hotmail.com,True
Organization-005-Dept-01-Part-03,Organization-005-Dept-01,Organization-005,Luis Dixon,Doctor,842-215-8580,elizabethjohnson@mcgee-harrell.com,True
Organization-005-Dept-01-Part-04,Organization-005-Dept-01,Organization-005,Michelle Porter,Doctor,(234)920-8571x6967,molly48@miller.net,True
Organization-005-Dept-01-Part-05,Organization-005-Dept-01,Organization-005,Zachary Parker,Nurse,9332642002,cdouglas@hotmail.com,True
Organization-005-Dept-01-Part-06,Organization-005-Dept-01,Organization-005,Kathy Nelson,Doctor,+1-011-637-6614,gloria80@stevens.com,True
Organization-005-Dept-01-Part-07,Organization-005-Dept-01,Organization-005,Rachel Macias,Doctor,+1-411-483-5279x346,jefferymiller@mendoza-hawkins.info,True
Organization-005-Dept-01-Part-08,Organization-005-Dept-01,Organization-005,David Sparks,Doctor,103-682-7181,narias@yahoo.com,False
Organization-005-Dept-01-Part-09,Organization-005-Dept-01,Organization-005,Lynn Jimenez,Nurse,(682)812-6051x61362,pageheidi@hotmail.com,True
Organization-005-Dept-01-Part-10,Organization-005-Dept-01,Organization-005,Donald Schwartz,Doctor,(328)615-2160x31990,benjaminburgess@gmail.com,True
Organization-006-Dept-01-Part-01,Organization-006-Dept-01,Organization-006,Amy Smith,Nurse,(670)961-7389x0559,patriciawheeler@leach-huffman.org,True
Organization-006-Dept-01-Part-02,Organization-006-Dept-01,Organization-006,Autumn Evans,Nurse,768.944.3796x088,austinalvarado@thompson-foster.com,True
Organization-006-Dept-01-Part-03,Organization-006-Dept-01,Organization-006,Brenda Davis,Doctor,+1-492-194-5390,stephanie71@hotmail.com,True
Organization-006-Dept-01-Part-04,Organization-006-Dept-01,Organization-006,Kimberly Soto,Nurse,599.336.2081x6448,veronicahernandez@hotmail.com,True
Organization-006-Dept-01-Part-05,Organization-006-Dept-01,Organization-006,Daniel Santos,Doctor,890-226-6271x58244,brian02@yahoo.com,True
Organization-006-Dept-01-Part-06,Organization-006-Dept-01,Organization-006,Dana Chang,Doctor,(262)039-5395,samuel63@hotmail.com,True
Organization-006-Dept-01-Part-07,Organization-006-Dept-01,Organization-006,Kenneth Woods,Doctor,+1-112-637-7528x276,hmyers@gmail.com,True
