id,organization_id,department_name,head,phone,email
Organization-001-Dept-01,Organization-001,Neurology,Phillip Morales,+1-624-758-8232x83185,pcarpenter@gmail.com
Organization-001-Dept-02,Organization-001,Outpatient Services,Mary Kennedy,+1-434-377-4425x61974,upeck@calhoun-tate.biz
Organization-001-Dept-03,Organization-001,Oncology,Benjamin Carter,+1-351-947-2864,rwright@livingston.com
Organization-001-Dept-04,Organization-001,Orthopedics,Larry Navarro,586.472.8601,brownjonathan@yahoo.com
Organization-001-Dept-05,Organization-001,Radiology,Ariel Phillips,001-075-820-2539x626,stephanie68@hotmail.com
Organization-001-Dept-06,Organization-001,Finance,Kaitlin Boyer,+1-171-279-6098x67709,umiller@hamilton.com
Organization-001-Dept-07,Organization-001,Pediatrics,Charles Parks,117-079-9327,martinsteele@allison.net
Organization-002-Dept-01,Organization-002,Emergency Department,Caitlyn Gibbs,001-461-228-0730x07634,matthewmoyer@hotmail.com
Organization-002-Dept-02,Organization-002,Oncology,Debra Skinner,+1-163-211-3558,uramsey@yahoo.com
Organization-003-Dept-01,Organization-003,Outpatient Services,Gary Ryan,(251)895-5489x25641,englishalejandro@graham.com
Organization-004-Dept-01,Organization-004,Finance,Christine Thomas,+1-285-560-7903x46223,thomas51@gmail.com
Organization-004-Dept-02,Organization-004,Orthopedics,Julie Jensen,(320)726-8619x530,michaelwallace@gmail.com
Organization-005-Dept-01,Organization-005,Orthopedics,Shane Mays,(667)038-1027x69756,donald59@yahoo.com
Organization-006-Dept-01,Organization-006,Pediatrics,Faith Adams,(236)487-2302,michael32@smith.com
Organization-006-Dept-02,Organization-006,IT,Marilyn Hunter,+1-832-340-8129x9734,dylan81@gmail.com
Organization-007-Dept-01,Organization-007,Pediatrics,Cory Williams,+1-210-720-0352,martin56@brooks.com
Organization-007-Dept-02,Organization-007,Oncology,Shelly Sims,(760)867-2001x8963,wmcbride@gmail.com
Organization-008-Dept-01,Organization-008,Oncology,Julia James,001-768-057-7979x9593,derrick07@nelson-bradshaw.com
Organization-009-Dept-01,Organization-009,Orthopedics,Patty Stevens,+1-083-326-4564x026,sean57@yahoo.com
Organization-009-Dept-02,Organization-009,Finance,Jaclyn Barnes,(528)792-9795x90141,toddlandry@sullivan-madden.com
Organization-009-Dept-03,Organization-009,IT,Vanessa Taylor,(019)162-1129x64751,chadbrown@yahoo.com
Organization-010-Dept-01,Organization-010,Radiology,Kelly Briggs,643-272-1477x04457,willistimothy@griffin.com
Organization-010-Dept-02,Organization-010,Outpatient Services,Cameron Maldonado,(565)637-6833,marisaknox@espinoza-smith.com
Organization-010-Dept-03,Organization-010,HR,Jennifer Li,+1-437-673-0872x0749,alexandriabrown@gmail.com
Organization-010-Dept-04,Organization-010,Neurology,Donna Curtis,(005)675-2775x8554,durancarrie@hotmail.com
Organization-010-Dept-05,Organization-010,Orthopedics,Ashley Lopez,+1-337-922-0105x82683,bbaker@gmail.com
